#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
13,68,2020-03-10,9.391072091834639,0.24713347610091155,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-10,11.06927505653502,0.2912967120140795,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-11,8.419059781818305,0.22155420478469226,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-11,9.120593069812038,0.2400156071003168,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-11,9.391072091834639,0.24713347610091155,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-11,11.06927505653502,0.2912967120140795,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-12,18.61055320191415,0.4431084095693845,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-12,20.16131099642661,0.4800312142006336,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-12,20.75921199247657,0.4942669522018231,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-12,24.468923809182677,0.582593424028159,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-13,19.718324225837613,0.4431084095693845,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-13,21.361389031928194,0.4800312142006336,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-13,21.994879372981128,0.4942669522018231,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-13,25.925407369253072,0.582593424028159,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-14,24.814070935885532,0.4431084095693845,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-14,26.881747995235482,0.4800312142006336,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-14,27.678949323302092,0.4942669522018231,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-14,32.6252317455769,0.582593424028159,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-15,30.352926055502838,0.6646626143540768,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-15,32.8821381727434,0.7200468213009504,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-15,33.85728622582488,0.7414004283027347,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-15,39.90764954592889,0.8738901360422384,2020-12-10 12:45:33.598434,jaredross
